index,date,total
702,12/25/21,279584895
703,12/26/21,280584393
704,12/27/21,281164446
705,12/28/21,281990743
706,12/29/21,283553993
707,12/30/21,285184889
708,12/31/21,287030075
709,1/1/22,288971752
710,1/2/22,290887297
711,1/3/22,291994213
712,1/4/22,293424799
713,1/5/22,296031334
714,1/6/22,298776175
715,1/7/22,301400628
716,1/8/22,303972646
717,1/9/22,307235726
718,1/10/22,309374149
719,1/11/22,311363243
720,1/12/22,314895452
721,1/13/22,318044614
722,1/14/22,321221796
723,1/15/22,324394869
724,1/16/22,327956094
725,1/17/22,330381226
726,1/18/22,332582517
727,1/19/22,336316829
728,1/20/22,340071684
729,1/21/22,343877165
730,1/22/22,347551395
731,1/23/22,351346032
732,1/24/22,354033000
733,1/25/22,356539171
734,1/26/22,360592729
735,1/27/22,364167275
736,1/28/22,367762006
737,1/29/22,371220975
738,1/30/22,374659074
739,1/31/22,377128057
740,2/1/22,379389557
741,2/2/22,382805206
742,2/3/22,385952670
743,2/4/22,388955030
744,2/5/22,391935336
745,2/6/22,394601121
746,2/7/22,396623363
747,2/8/22,398553435
748,2/9/22,401543129
749,2/10/22,404159285
750,2/11/22,406611722
751,2/12/22,408855879
752,2/13/22,410957604
753,2/14/22,412534952
754,2/15/22,414134489
755,2/16/22,416234293
756,2/17/22,418310061
757,2/18/22,420317728
758,2/19/22,422178673
759,2/20/22,423917490
760,2/21/22,425228707
761,2/22/22,426669477
762,2/23/22,428469479
763,2/24/22,430271666
764,2/25/22,431998461
765,2/26/22,433588956
766,2/27/22,435026441
767,2/28/22,436282580
768,3/1/22,437574653
769,3/2/22,439213203
770,3/3/22,440912009
771,3/5/22,444184831
772,3/7/22,447005526
773,3/9/22,450320209
774,3/11/22,453891349
775,3/13/22,457624695
776,3/15/22,460495651
777,3/17/22,464690821
778,3/19/22,468409502
779,3/21/22,471257443
780,3/23/22,474618302
781,3/25/22,477992008
782,3/27/22,481076973
783,3/29/22,483625639
784,3/31/22,486629947
785,4/2/22,489189149
786,4/4/22,491344569
787,4/6/22,493453879
788,4/8/22,495798817
789,4/10/22,497856729
790,4/12/22,499296643
791,4/14/22,501110795
792,4/16/22,502738791
793,4/18/22,504141629
794,4/20/22,505174303
795,4/22/22,506836129
796,4/24/22,508317131
797,4/26/22,509228636
798,4/28/22,510510608
799,4/30/22,511610704
800,5/2/22,512675935
801,5/4/22,513568307
802,5/6/22,514642939
803,5/8/22,515956381
804,5/10/22,516709364
805,5/12/22,517928835
806,5/14/22,519049540
807,5/16/22,520265503
808,5/18/22,521242272
809,5/20/22,522400043
810,5/22/22,523720659
811,5/24/22,524370208
812,5/26/22,525420293
813,5/28/22,526359288
814,5/30/22,527402852
815,6/1/22,528159901
816,6/3/22,529220873
817,6/5/22,530373249
818,6/7/22,530919106
819,6/9/22,532063314
820,6/11/22,533152347
821,6/13/22,534178905
822,6/15/22,535118583
823,6/17/22,536289485
824,6/19/22,537577194
825,6/21/22,538299440
826,6/23/22,539775433
827,6/25/22,541264142
828,6/27/22,542587658
829,6/29/22,543927868
830,7/1/22,545713290
831,7/3/22,547418583
832,7/5/22,548693709
833,7/7/22,550741023
834,7/9/22,552786670
835,7/11/22,554673607
836,7/13/22,556399939
837,7/15/22,558484621
838,7/17/22,560683461
839,7/19/22,562393988
840,7/21/22,564506719
841,7/23/22,566610289
842,7/25/22,569037163
843,7/27/22,570796997
844,7/29/22,572790583
845,7/31/22,575187224
846,8/2/22,576797828
847,8/4/22,578695585
848,8/6/22,580956132
849,8/8/22,583046096
850,8/10/22,584539364
851,8/12/22,586287126
852,8/14/22,588004201
853,8/16/22,589217824
854,8/18/22,590870597
855,8/20/22,592575029
856,8/22/22,594113650
857,8/24/22,595457459
858,8/26/22,596998747
859,8/28/22,598217435
860,8/30/22,599425682
861,9/1/22,600730059
862,9/3/22,601969554
863,9/5/22,602998248
864,9/7/22,603903611
865,9/9/22,605031368
866,9/11/22,605802093
867,9/13/22,606768073
868,9/15/22,607859720
869,9/17/22,608836719
870,9/19/22,609742846
871,9/21/22,610563804
872,9/23/22,611492734
873,9/25/22,612395996
874,9/27/22,613152588
875,9/29/22,614166412
876,10/1/22,615233805
877,10/3/22,615949223
878,10/5/22,616790312
879,10/7/22,617889630
880,10/9/22,618851310
881,10/11/22,619567154
882,10/13/22,620666169
883,10/15/22,621675314
884,10/17/22,622381369
885,10/19/22,623286795
886,10/21/22,624122825
887,10/23/22,624978149
888,10/25/22,625563734
889,10/27/22,626329579
890,10/29/22,627286358
891,10/31/22,627789121
892,11/2/22,628397239
893,11/4/22,629273602
894,11/6/22,629885238
895,11/8/22,630483236
896,11/10/22,631106522
897,11/12/22,632132991
898,11/14/22,632715334
899,11/16/22,633454593
900,11/17/22,633797286
901,11/19/22,634796913
902,11/21/22,635433438
903,11/23/22,636229472
904,11/25/22,637157753
905,11/27/22,638099658
906,11/28/22,638448425
907,11/30/22,639311594
908,12/2/22,640506228
909,12/4/22,641349916
910,12/6/22,642108535
911,12/8/22,643194981
912,12/10/22,645053796
913,12/12/22,647149014
914,12/14/22,650076304
915,12/16/22,654532590
916,12/18/22,660974970
917,12/20/22,670939584
918,12/21/22,677405286
919,12/23/22,692299902
920,12/25/22,705241011
921,12/27/22,715132889
922,12/29/22,723829013
923,12/31/22,730442703
924,1/2/23,734888141
925,1/4/23,738094879
926,1/6/23,741528366
927,1/9/23,744900208
928,1/11/23,746185906
929,1/13/23,747895017
930,1/15/23,748870865
931,1/17/23,749558268
932,1/19/23,750279815
933,1/21/23,751176929
934,1/23/23,751631808
935,1/25/23,751962050
936,1/27/23,752652063
937,1/29/23,753003180
938,1/31/23,753280753
939,2/2/23,753646701
940,2/4/23,754269291
941,2/6/23,754535843
942,2/8/23,754804029
943,2/10/23,755385761
944,2/12/23,755683513
945,2/14/23,755872473
946,2/16/23,756168762
947,2/18/23,756674499
948,2/20/23,756932955
949,2/22/23,757157565
950,2/24/23,757406986
951,2/26/23,757884469
952,3/2/23,758390040
953,3/4/23,758832254
954,3/6/23,759076834
955,3/8/23,759265726
956,3/10/23,759457342
957,3/12/23,759826162
958,3/14/23,760095018
959,3/16/23,760298111
960,3/18/23,760609875
961,3/20/23,760882745
962,3/22/23,761055179
963,3/24/23,761216272
964,3/26/23,761545669
965,3/28/23,761736470
966,3/30/23,761948150
967,4/1/23,762267280
968,4/3/23,762479370
969,4/5/23,762612537
970,4/7/23,762742495
971,4/9/23,763054975
972,4/11/23,763226286
973,4/13/23,763362215
974,4/15/23,763513664
975,4/17/23,763890948
976,4/19/23,764034260
977,4/21/23,764190884
978,4/23/23,764506075
979,4/26/23,764767389
980,4/28/23,764909322
981,4/30/23,765197396
982,5/2/23,765370087
983,5/4/23,765502897
984,5/6/23,765622951
985,5/8/23,765957523
986,5/10/23,766059640
987,5/12/23,766151537
988,5/14/23,766383796
989,5/16/23,766553079
990,5/18/23,766638322
991,5/20/23,766727138
992,5/22/23,766965926
993,5/24/23,767043805
994,5/26/23,767113959
995,5/28/23,767216939
996,5/30/23,767349480
997,6/1/23,767422629
998,6/3/23,767505636
999,6/5/23,767621155
1000,6/7/23,767698147
1001,6/9/23,767758830
1002,6/11/23,767849505
1003,6/13/23,767984225
